materialSampleID,diseaseTested,diseaseDetected,genus,specificEpithet,country,yearCollected,projectId,scientificName
0,Bd,False,Batrachoseps,pacificus,USA,1949,223,Batrachoseps pacificus
SCZ_55112,Bd,False,Batrachoseps,pacificus,USA,1949,223,Batrachoseps pacificus
SCZ_55113,Bd,False,Batrachoseps,pacificus,USA,1949,223,Batrachoseps pacificus
SCZ_55311,Bd,False,Batrachoseps,pacificus,USA,1949,223,Batrachoseps pacificus
1,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
1,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
2,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
2,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
3,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
3,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
3,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
4,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
4,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
4,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
5,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
5,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
5,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
56,Bd,False,litoria,verreauxii,Australia,2013,222,litoria verreauxii
56,Bd,False,litoria,verreauxii,Australia,2013,222,litoria verreauxii
58,Bd,True,litoria,verreauxii,Australia,2013,222,litoria verreauxii
58,Bd,False,litoria,verreauxii,Australia,2013,222,litoria verreauxii
6,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
6,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
68,Bd,True,litoria,verreauxii,Australia,2013,222,litoria verreauxii
68,Bd,True,litoria,verreauxii,Australia,2013,222,litoria verreauxii
1,Bd,True,Taricha,granulosa,USA,1905,244,Taricha granulosa
1,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
608,Bd,True,Taricha,granulosa,USA,1905,244,Taricha granulosa
608,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
610,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
610,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
621,Bd,True,Taricha,granulosa,USA,1905,244,Taricha granulosa
621,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
628,Bd,True,Taricha,granulosa,USA,1905,244,Taricha granulosa
628,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
630,Bd,True,Taricha,granulosa,USA,1905,244,Taricha granulosa
630,Bd,False,Taricha,granulosa,USA,1905,244,Taricha granulosa
10,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
10,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
11,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
11,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
12,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
12,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
13,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
13,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
14,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
14,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
15,Bd,True,crinia,signifera,Australia,2013,222,crinia signifera
15,Bd,False,crinia,signifera,Australia,2013,222,crinia signifera
28,Bd,True,litoria,verreauxii,Australia,2013,222,litoria verreauxii
28,Bd,False,litoria,verreauxii,Australia,2013,222,litoria verreauxii
48,Bd,True,litoria,verreauxii,Australia,2013,222,litoria verreauxii
48,Bd,False,litoria,verreauxii,Australia,2013,222,litoria verreauxii
